name      flux ra            dec
1504+1029 1.28 15:04:24.9797 +10:29:39.198
1507-1652 1.28 15:07:04.7869 -16:52:30.267
1512-0905 1.47 15:12:50.5329 -09:05:59.829
1517-2422 2.28 15:17:41.8131 -24:22:19.475
1521+4336 1.09 15:21:49.6138 +43:36:39.267
1549+0237 2.57 15:49:29.4368 +02:37:01.163
1550+0527 1.78 15:50:35.2692 +05:27:10.448
1608+1029 1.06 16:08:46.2031 +10:29:07.775
1613+3412 2.4 16:13:41.0642 +34:12:47.909
1625-2527 1.77 16:25:46.8916 -25:27:38.326
1626-2951 1.76 16:26:06.0208 -29:51:26.971
1635+3808 2.38 16:35:15.4929 +38:08:04.500
1638+5720 1.08 16:38:13.4562 +57:20:23.979
1640+3946 1.12 16:40:29.6327 +39:46:46.028
1642+3948 11.68 16:42:58.8099 +39:48:36.993
1658+4737 1.3 16:58:02.7796 +47:37:49.231
1658+0741 2.14 16:58:09.0114 +07:41:27.540
1700-2610 1.76 17:00:53.1540 -26:10:51.725
1717-3342 1.05 17:17:36.0300 -33:42:08.764
1727+4530 1.53 17:27:27.6508 +45:30:39.731
1728+0427 1.01 17:28:24.9527 +04:27:04.914
1733-1304 9.52 17:33:02.7057 -13:04:49.548
1743-0350 4.48 17:43:58.8561 -03:50:04.616
1751+0939 4.28 17:51:32.8185 +09:39:00.728
1800+3848 1.11 18:00:24.7653 +38:48:30.697
1800+7828 2.56 18:00:45.6839 +78:28:04.018
1801+4404 1 18:01:32.3148 +44:04:21.900
1824+5651 1.67 18:24:07.0683 +56:51:01.490
1829+4844 1.56 18:29:31.7832 +48:44:46.161
1833-2103 2.63 18:33:39.9300 -21:03:40.769
1848+3219 1.13 18:48:22.0885 +32:19:02.603
1849+6705 1.27 18:49:16.0723 +67:05:41.679
1911-2006 1.5 19:11:09.6528 -20:06:55.109
1923-2104 1.58 19:23:32.1898 -21:04:33.333
1924-2914 10.84 19:24:51.0559 -29:14:30.121
1927+7358 2.14 19:27:48.4951 +73:58:01.569
1955+5131 1.34 19:55:42.7382 +51:31:48.546
1957-3845 2.17 19:57:59.8192 -38:45:06.356
2005+7752 1.14 20:05:30.9985 +77:52:43.247
2007+4029 1.35 20:07:44.9448 +40:29:48.604
2011-1546 1.1 20:11:15.7109 -15:46:40.253
